pdb_id	precision	recall	f1	n_predicted	n_true	mcsa_id	uniprot	rep_id	cluster_size
1LNH	0.4000	0.4000	0.4000	5	5	583	NOT_FOUND	NOT_FOUND	0
1LOK	1.0000	1.0000	1.0000	6	6	167	NOT_FOUND	NOT_FOUND	0
1M4L	0.6000	0.6000	0.6000	5	5	171	NOT_FOUND	NOT_FOUND	0
1M53	0.5000	0.5000	0.5000	2	2	582	NOT_FOUND	NOT_FOUND	0
1MB9	0.0000	0.0000	0.0000	3	3	303	NOT_FOUND	NOT_FOUND	0
1MBB	0.3333	0.3333	0.3333	3	3	353	NOT_FOUND	NOT_FOUND	0
1MJ9	0.5000	0.5000	0.5000	2	2	525	NOT_FOUND	NOT_FOUND	0
1MLA	0.5000	0.5000	0.5000	6	6	291	NOT_FOUND	NOT_FOUND	0
1MLV	0.0000	0.0000	0.0000	1	1	604	NOT_FOUND	NOT_FOUND	0
1MRQ	0.5000	0.5000	0.5000	4	4	858	NOT_FOUND	NOT_FOUND	0
1N8I	0.0000	0.0000	0.0000	6	6	53	P9WK16	A0A1E9HML6	9413
1NDH	0.0000	0.0000	0.0000	4	4	862	NOT_FOUND	NOT_FOUND	0
1NDI	0.5000	0.5000	0.5000	4	4	629	NOT_FOUND	NOT_FOUND	0
1NHX	0.6250	0.6250	0.6250	8	8	863	NOT_FOUND	NOT_FOUND	0
1NML	0.0000	0.0000	0.0000	1	1	749	NOT_FOUND	NOT_FOUND	0
1NMW	0.4000	0.4000	0.4000	5	5	511	NOT_FOUND	NOT_FOUND	0
1O08	0.4000	0.4000	0.4000	10	10	206	NOT_FOUND	NOT_FOUND	0
1O98	0.0000	0.0000	0.0000	0	10	738	NOT_FOUND	NOT_FOUND	0
1ODM	0.7500	0.7500	0.7500	4	4	145	NOT_FOUND	NOT_FOUND	0
1OFD	0.3333	0.3333	0.3333	9	9	111	NOT_FOUND	NOT_FOUND	0
1OG1	0.5000	0.5000	0.5000	4	4	869	NOT_FOUND	NOT_FOUND	0
1OGO	0.5000	0.5000	0.5000	2	2	690	NOT_FOUND	NOT_FOUND	0
1OJ4	0.0000	0.0000	0.0000	2	2	654	NOT_FOUND	NOT_FOUND	0
1OKG	0.0000	0.0000	0.0000	4	4	871	NOT_FOUND	NOT_FOUND	0
1ONR	0.6000	0.6000	0.6000	5	5	148	NOT_FOUND	NOT_FOUND	0
1OYG	0.2500	0.2500	0.2500	4	4	875	NOT_FOUND	NOT_FOUND	0
1P5D	0.4444	0.4444	0.4444	9	9	194	NOT_FOUND	NOT_FOUND	0
1P7M	0.3333	0.3333	0.3333	3	3	655	NOT_FOUND	NOT_FOUND	0
1PBG	0.5000	0.5000	0.5000	2	2	877	NOT_FOUND	NOT_FOUND	0
1PKN	0.0000	0.0000	0.0000	4	4	326	NOT_FOUND	NOT_FOUND	0
1PMI	0.6250	0.6250	0.6250	8	8	880	NOT_FOUND	NOT_FOUND	0
1PNT	0.8333	0.8333	0.8333	6	6	462	NOT_FOUND	NOT_FOUND	0
1PP4	0.6000	0.6000	0.6000	5	5	705	NOT_FOUND	NOT_FOUND	0
1PS1	0.5385	0.5385	0.5385	13	13	89	Q55012	A0A101PED6	2015
1PS9	0.0000	0.0000	0.0000	5	5	108	P42593	A0A7V6TKU4	24049
1PTD	0.6000	0.6000	0.6000	5	5	26	P14262	A0A2I3N0C0	1597
1PUD	0.5000	0.5000	0.5000	6	6	881	NOT_FOUND	NOT_FOUND	0
1PWH	0.3333	0.3333	0.3333	3	3	186	NOT_FOUND	NOT_FOUND	0
1PYL	0.2500	0.2500	0.2500	4	4	459	NOT_FOUND	NOT_FOUND	0
1Q0N	0.5000	0.5000	0.5000	4	4	151	NOT_FOUND	NOT_FOUND	0
1Q6X	0.5000	0.5000	0.5000	4	4	605	NOT_FOUND	NOT_FOUND	0
1Q91	1.0000	1.0000	1.0000	3	3	812	NOT_FOUND	NOT_FOUND	0
1QAM	0.0000	0.0000	0.0000	5	5	898	NOT_FOUND	NOT_FOUND	0
1QBA	0.5000	0.5000	0.5000	2	2	899	NOT_FOUND	NOT_FOUND	0
1QGX	0.8571	0.8571	0.8571	7	7	904	NOT_FOUND	NOT_FOUND	0
1QHO	0.0000	0.0000	0.0000	0	3	905	NOT_FOUND	NOT_FOUND	0
1QIB	0.7500	0.7500	0.7500	4	4	906	NOT_FOUND	NOT_FOUND	0
1QK2	0.5000	0.5000	0.5000	6	6	440	NOT_FOUND	NOT_FOUND	0
1QRZ	0.0000	0.0000	0.0000	4	4	425	NOT_FOUND	NOT_FOUND	0
1QV0	0.0000	0.0000	0.0000	5	5	768	NOT_FOUND	NOT_FOUND	0
1QWN	0.6000	0.6000	0.6000	5	5	793	NOT_FOUND	NOT_FOUND	0
1R44	0.8000	0.8000	0.8000	5	5	706	NOT_FOUND	NOT_FOUND	0
1R4Z	0.4000	0.4000	0.4000	5	5	518	NOT_FOUND	NOT_FOUND	0
1R76	0.0000	0.0000	0.0000	2	2	509	NOT_FOUND	NOT_FOUND	0
1RDD	1.0000	1.0000	1.0000	6	6	163	NOT_FOUND	NOT_FOUND	0
1RHS	0.3750	0.3750	0.3750	8	8	153	NOT_FOUND	NOT_FOUND	0
1RTU	0.2500	0.2500	0.2500	4	4	908	NOT_FOUND	NOT_FOUND	0
1RUV	0.4000	0.4000	0.4000	5	5	164	NOT_FOUND	NOT_FOUND	0
1S01	0.5000	0.5000	0.5000	4	4	723	NOT_FOUND	NOT_FOUND	0
1S3I	0.5000	0.5000	0.5000	2	2	766	NOT_FOUND	NOT_FOUND	0
1S6L	0.6667	0.6667	0.6667	3	3	297	NOT_FOUND	NOT_FOUND	0
1S95	0.0000	0.0000	0.0000	10	10	472	NOT_FOUND	NOT_FOUND	0
1SLL	0.0000	0.0000	0.0000	0	3	612	NOT_FOUND	NOT_FOUND	0
1SML	0.7143	0.7143	0.7143	7	7	258	NOT_FOUND	NOT_FOUND	0
1SNZ	1.0000	1.0000	1.0000	3	3	351	NOT_FOUND	NOT_FOUND	0
1SSX	0.4000	0.4000	0.4000	5	5	609	NOT_FOUND	NOT_FOUND	0
1SU4	1.0000	1.0000	1.0000	3	3	849	NOT_FOUND	NOT_FOUND	0
1U3F	0.3333	0.3333	0.3333	3	3	541	NOT_FOUND	NOT_FOUND	0
1UCH	0.5000	0.5000	0.5000	4	4	597	NOT_FOUND	NOT_FOUND	0
1UN1	0.0000	0.0000	0.0000	3	3	826	NOT_FOUND	NOT_FOUND	0
1UOK	0.4000	0.4000	0.4000	5	5	285	NOT_FOUND	NOT_FOUND	0
1USH	0.5833	0.5833	0.5833	12	12	611	NOT_FOUND	NOT_FOUND	0
1V0Y	0.5000	0.5000	0.5000	4	4	634	NOT_FOUND	NOT_FOUND	0
1VID	0.0000	0.0000	0.0000	3	5	915	NOT_FOUND	NOT_FOUND	0
1VLB	1.0000	1.0000	1.0000	1	1	105	Q46509	A0A1F6T9Q1	5489
1VNC	0.7143	0.7143	0.7143	7	7	14	P49053	A0A6P0BTM3	73
1VOM	0.2500	0.2500	0.2500	8	8	534	NOT_FOUND	NOT_FOUND	0
1VQ1	0.0000	0.0000	0.0000	3	3	703	NOT_FOUND	NOT_FOUND	0
1VZX	0.0000	0.0000	0.0000	1	6	356	NOT_FOUND	NOT_FOUND	0
1W0H	0.0000	0.0000	0.0000	5	5	784	NOT_FOUND	NOT_FOUND	0
1WNW	0.7143	0.7143	0.7143	7	7	795	NOT_FOUND	NOT_FOUND	0
1X9D	0.0000	0.0000	0.0000	4	4	19	Q9UKM7	A0A6F9B983	214
1X9Y	0.0000	0.0000	0.0000	4	4	805	NOT_FOUND	NOT_FOUND	0
1Y9M	0.5000	0.5000	0.5000	2	2	827	NOT_FOUND	NOT_FOUND	0
1YRC	0.3333	0.3333	0.3333	6	6	133	NOT_FOUND	NOT_FOUND	0
1YT3	0.8000	0.8000	0.8000	5	5	321	NOT_FOUND	NOT_FOUND	0
1YTW	0.4286	0.4286	0.4286	7	7	47	P15273	A0A2K4MUE4	28
1ZE1	0.2500	0.2500	0.2500	4	4	56	Q9WZW0	Q98SB1	32865
1ZNB	0.5000	0.5000	0.5000	8	8	15	P25910	A0A218ZP06	2866
2A0N	0.0000	0.0000	0.0000	1	2	753	NOT_FOUND	NOT_FOUND	0
2ABK	0.5000	0.5000	0.5000	2	2	888	NOT_FOUND	NOT_FOUND	0
2ACU	0.7500	0.7500	0.7500	4	4	725	NOT_FOUND	NOT_FOUND	0
2ACY	0.5000	0.5000	0.5000	2	2	923	NOT_FOUND	NOT_FOUND	0
2ADM	0.2500	0.2500	0.2500	4	4	46	P14385	A0A0T9PTD8	277
2AKJ	0.5000	0.5000	0.5000	6	6	323	NOT_FOUND	NOT_FOUND	0
2AYH	0.0000	0.0000	0.0000	1	2	924	NOT_FOUND	NOT_FOUND	0
2B3I	0.0000	0.0000	0.0000	4	4	278	NOT_FOUND	NOT_FOUND	0
2CPO	0.5000	0.5000	0.5000	4	4	250	NOT_FOUND	NOT_FOUND	0
2DBT	0.3333	0.3333	0.3333	3	3	819	NOT_FOUND	NOT_FOUND	0
2DLN	0.2000	0.1250	0.1538	5	8	883	NOT_FOUND	NOT_FOUND	0
2ENG	0.0000	0.0000	0.0000	2	2	561	NOT_FOUND	NOT_FOUND	0
2EUA	0.2000	0.2000	0.2000	5	5	325	NOT_FOUND	NOT_FOUND	0
2F61	0.2500	0.2500	0.2500	4	4	764	NOT_FOUND	NOT_FOUND	0
2F9R	0.0000	0.0000	0.0000	11	11	242	NOT_FOUND	NOT_FOUND	0
2FOK	0.3333	0.3333	0.3333	3	3	927	NOT_FOUND	NOT_FOUND	0
2GB0	0.0000	0.0000	0.0000	7	7	113	NOT_FOUND	NOT_FOUND	0
2GMH	0.5714	0.5714	0.5714	7	7	281	NOT_FOUND	NOT_FOUND	0
2HW4	0.1667	0.1667	0.1667	6	6	952	NOT_FOUND	NOT_FOUND	0
2ID0	0.1667	0.1667	0.1667	6	6	338	NOT_FOUND	NOT_FOUND	0
2NLR	0.0000	0.0000	0.0000	0	2	560	NOT_FOUND	NOT_FOUND	0
2NMT	0.2000	0.2000	0.2000	5	5	928	NOT_FOUND	NOT_FOUND	0
2NPX	0.0000	0.0000	0.0000	0	4	895	NOT_FOUND	NOT_FOUND	0
2O7R	0.2500	0.2500	0.2500	8	8	407	NOT_FOUND	NOT_FOUND	0
2ODQ	0.0000	0.0000	0.0000	1	3	688	NOT_FOUND	NOT_FOUND	0
2OLN	0.1429	0.1429	0.1429	7	7	942	NOT_FOUND	NOT_FOUND	0
2PEC	0.4000	0.4000	0.4000	5	5	896	NOT_FOUND	NOT_FOUND	0
2PTH	0.0000	0.0000	0.0000	4	4	931	NOT_FOUND	NOT_FOUND	0
2QT6	0.6154	0.6154	0.6154	13	13	390	NOT_FOUND	NOT_FOUND	0
2RNF	0.3333	0.3333	0.3333	3	3	693	NOT_FOUND	NOT_FOUND	0
2SNS	0.5000	0.5000	0.5000	6	6	165	NOT_FOUND	NOT_FOUND	0
2TPS	0.0000	0.0000	0.0000	3	3	364	NOT_FOUND	NOT_FOUND	0
2WML	0.0000	0.0000	0.0000	2	2	340	NOT_FOUND	NOT_FOUND	0
3AIE	0.0000	0.0000	0.0000	3	3	1002	NOT_FOUND	NOT_FOUND	0
3BPT	0.0000	0.0000	0.0000	4	4	345	NOT_FOUND	NOT_FOUND	0
3DFR	0.3333	0.3333	0.3333	9	9	112	NOT_FOUND	NOT_FOUND	0
3FNL	0.0000	0.0000	0.0000	9	9	944	NOT_FOUND	NOT_FOUND	0
3IDH	0.0000	0.0000	0.0000	2	2	592	NOT_FOUND	NOT_FOUND	0
3KB9	0.0000	0.0000	0.0000	4	4	263	NOT_FOUND	NOT_FOUND	0
3NYE	0.0000	0.0000	0.0000	6	6	978	NOT_FOUND	NOT_FOUND	0
3PMG	0.4286	0.4286	0.4286	7	7	352	NOT_FOUND	NOT_FOUND	0
3RFA	0.5000	0.5000	0.5000	6	6	938	NOT_FOUND	NOT_FOUND	0
3SHD	0.2500	0.2500	0.2500	4	4	988	NOT_FOUND	NOT_FOUND	0
3THI	0.0000	0.0000	0.0000	3	3	357	NOT_FOUND	NOT_FOUND	0
3VMT	0.0000	0.0000	0.0000	4	4	970	NOT_FOUND	NOT_FOUND	0
4DGK	0.0000	0.0000	0.0000	4	4	969	NOT_FOUND	NOT_FOUND	0
4EAY	0.2000	0.1667	0.1818	5	6	963	NOT_FOUND	NOT_FOUND	0
4L1G	0.1667	0.1667	0.1667	6	6	996	NOT_FOUND	NOT_FOUND	0
4MUP	0.0000	0.0000	0.0000	1	1	861	NOT_FOUND	NOT_FOUND	0
5EAT	0.3000	0.3000	0.3000	10	10	265	NOT_FOUND	NOT_FOUND	0
5VSM	0.0000	0.0000	0.0000	3	3	965	NOT_FOUND	NOT_FOUND	0
7ATJ	0.7500	0.7500	0.7500	4	4	239	NOT_FOUND	NOT_FOUND	0
9PAP	0.0000	0.0000	0.0000	4	4	174	NOT_FOUND	NOT_FOUND	0
