pdb_id	dimension	value	f1
1L1L	n_true	7.0	0.5714
1L6P	n_true	6.0	0.1667
1L7N	n_true	6.0	0.1667
1L9X	n_true	3.0	0.6667
1LBM	n_true	2.0	0.5
1LBU	n_true	7.0	0.4286
1LIJ	n_true	2.0	0.0
1LJL	n_true	14.0	0.3571
1LML	n_true	4.0	1.0
1LNH	n_true	5.0	0.4
1LOK	n_true	6.0	1.0
1M4L	n_true	5.0	0.6
1M53	n_true	2.0	0.5
1MB9	n_true	3.0	0.0
1MBB	n_true	3.0	0.3333
1MJ9	n_true	2.0	0.5
1MLA	n_true	6.0	0.5
1MLV	n_true	1.0	0.0
1MRQ	n_true	4.0	0.5
1N8I	n_true	6.0	0.0
1NDH	n_true	4.0	0.0
1NDI	n_true	4.0	0.5
1NHX	n_true	8.0	0.625
1NML	n_true	1.0	0.0
1NMW	n_true	5.0	0.4
1O08	n_true	10.0	0.4
1O98	n_true	10.0	0.0
1ODM	n_true	4.0	0.75
1OFD	n_true	9.0	0.3333
1OG1	n_true	4.0	0.5
1OGO	n_true	2.0	0.5
1OJ4	n_true	2.0	0.0
1OKG	n_true	4.0	0.0
1ONR	n_true	5.0	0.6
1OYG	n_true	4.0	0.25
1P5D	n_true	9.0	0.4444
1P7M	n_true	3.0	0.3333
1PBG	n_true	2.0	0.5
1PKN	n_true	4.0	0.0
1PMI	n_true	8.0	0.625
1PNT	n_true	6.0	0.8333
1PP4	n_true	5.0	0.6
1PS1	n_true	13.0	0.5385
1PS9	n_true	5.0	0.0
1PTD	n_true	5.0	0.6
1PUD	n_true	6.0	0.5
1PWH	n_true	3.0	0.3333
1PYL	n_true	4.0	0.25
1Q0N	n_true	4.0	0.5
1Q6X	n_true	4.0	0.5
1Q91	n_true	3.0	1.0
1QAM	n_true	5.0	0.0
1QBA	n_true	2.0	0.5
1QGX	n_true	7.0	0.8571
1QHO	n_true	3.0	0.0
1QIB	n_true	4.0	0.75
1QK2	n_true	6.0	0.5
1QRZ	n_true	4.0	0.0
1QV0	n_true	5.0	0.0
1QWN	n_true	5.0	0.6
1R44	n_true	5.0	0.8
1R4Z	n_true	5.0	0.4
1R76	n_true	2.0	0.0
1RDD	n_true	6.0	1.0
1RHS	n_true	8.0	0.375
1RTU	n_true	4.0	0.25
1RUV	n_true	5.0	0.4
1S01	n_true	4.0	0.5
1S3I	n_true	2.0	0.5
1S6L	n_true	3.0	0.6667
1S95	n_true	10.0	0.0
1SLL	n_true	3.0	0.0
1SML	n_true	7.0	0.7143
1SNZ	n_true	3.0	1.0
1SSX	n_true	5.0	0.4
1SU4	n_true	3.0	1.0
1U3F	n_true	3.0	0.3333
1UCH	n_true	4.0	0.5
1UN1	n_true	3.0	0.0
1UOK	n_true	5.0	0.4
1USH	n_true	12.0	0.5833
1V0Y	n_true	4.0	0.5
1VID	n_true	5.0	0.0
1VLB	n_true	1.0	1.0
1VNC	n_true	7.0	0.7143
1VOM	n_true	8.0	0.25
1VQ1	n_true	3.0	0.0
1VZX	n_true	6.0	0.0
1W0H	n_true	5.0	0.0
1WNW	n_true	7.0	0.7143
1X9D	n_true	4.0	0.0
1X9Y	n_true	4.0	0.0
1Y9M	n_true	2.0	0.5
1YRC	n_true	6.0	0.3333
1YT3	n_true	5.0	0.8
1YTW	n_true	7.0	0.4286
1ZE1	n_true	4.0	0.25
1ZNB	n_true	8.0	0.5
2A0N	n_true	2.0	0.0
2ABK	n_true	2.0	0.5
2ACU	n_true	4.0	0.75
2ACY	n_true	2.0	0.5
2ADM	n_true	4.0	0.25
2AKJ	n_true	6.0	0.5
2AYH	n_true	2.0	0.0
2B3I	n_true	4.0	0.0
2CPO	n_true	4.0	0.5
2DBT	n_true	3.0	0.3333
2DLN	n_true	8.0	0.1538
2ENG	n_true	2.0	0.0
2EUA	n_true	5.0	0.2
2F61	n_true	4.0	0.25
2F9R	n_true	11.0	0.0
2FOK	n_true	3.0	0.3333
2GB0	n_true	7.0	0.0
2GMH	n_true	7.0	0.5714
2HW4	n_true	6.0	0.1667
2ID0	n_true	6.0	0.1667
2NLR	n_true	2.0	0.0
2NMT	n_true	5.0	0.2
2NPX	n_true	4.0	0.0
2O7R	n_true	8.0	0.25
2ODQ	n_true	3.0	0.0
2OLN	n_true	7.0	0.1429
2PEC	n_true	5.0	0.4
2PTH	n_true	4.0	0.0
2QT6	n_true	13.0	0.6154
2RNF	n_true	3.0	0.3333
2SNS	n_true	6.0	0.5
2TPS	n_true	3.0	0.0
2WML	n_true	2.0	0.0
3AIE	n_true	3.0	0.0
3BPT	n_true	4.0	0.0
3DFR	n_true	9.0	0.3333
3FNL	n_true	9.0	0.0
3IDH	n_true	2.0	0.0
3KB9	n_true	4.0	0.0
3NYE	n_true	6.0	0.0
3PMG	n_true	7.0	0.4286
3RFA	n_true	6.0	0.5
3SHD	n_true	4.0	0.25
3THI	n_true	3.0	0.0
3VMT	n_true	4.0	0.0
4DGK	n_true	4.0	0.0
4EAY	n_true	6.0	0.1818
4L1G	n_true	6.0	0.1667
4MUP	n_true	1.0	0.0
5EAT	n_true	10.0	0.3
5VSM	n_true	3.0	0.0
7ATJ	n_true	4.0	0.75
9PAP	n_true	4.0	0.0
13PK	cluster_size	35481.0	0.0
1A26	cluster_size	1003.0	0.0
1A4L	cluster_size	0.0	0.5
1A8H	cluster_size	0.0	0.25
1ADN	cluster_size	0.0	0.75
1AF7	cluster_size	0.0	0.5
1AGM	cluster_size	0.0	0.0
1AGY	cluster_size	0.0	0.4
1AH7	cluster_size	344.0	1.0
1AHB	cluster_size	0.0	0.3333
1AJ0	cluster_size	0.0	0.0
1AK0	cluster_size	0.0	0.9
1AKO	cluster_size	0.0	0.7143
1AM5	cluster_size	0.0	0.1429
1AMY	cluster_size	0.0	0.0
1AOP	cluster_size	0.0	0.875
1AQ2	cluster_size	20300.0	0.75
1AST	cluster_size	0.0	0.8
1B6B	cluster_size	24573.0	0.0
1BF2	cluster_size	0.0	0.375
1BG0	cluster_size	3660.0	0.625
1BH2	cluster_size	0.0	0.0
1BIB	cluster_size	0.0	0.0
1BIX	cluster_size	0.0	0.875
1BOL	cluster_size	0.0	0.5
1BOO	cluster_size	0.0	0.0
1BQC	cluster_size	0.0	0.0
1BS1	cluster_size	23241.0	0.75
1BS9	cluster_size	0.0	0.6
1BSZ	cluster_size	3679.0	0.0
1BT3	cluster_size	0.0	0.0
1BTL	cluster_size	7254.0	0.6667
1BU7	cluster_size	0.0	0.6667
1BVV	cluster_size	0.0	0.4
1BVZ	cluster_size	0.0	0.3333
1BWZ	cluster_size	0.0	0.6
1BYA	cluster_size	0.0	0.0
1BZC	cluster_size	0.0	0.6
1C82	cluster_size	0.0	0.5
1CA2	cluster_size	0.0	0.6667
1CDG	cluster_size	895.0	0.0
1CEL	cluster_size	0.0	0.25
1CHD	cluster_size	0.0	0.0
1CHK	cluster_size	0.0	0.0
1CJY	cluster_size	0.0	0.2
1CNS	cluster_size	0.0	0.0
1COY	cluster_size	0.0	0.0
1CV2	cluster_size	0.0	0.0
1CVR	cluster_size	0.0	0.0
1CWY	cluster_size	0.0	0.3333
1CZ1	cluster_size	0.0	0.5
1CZF	cluster_size	0.0	0.0
1D3G	cluster_size	0.0	0.0
1D6M	cluster_size	10097.0	0.5
1D6O	cluster_size	0.0	0.5
1DE3	cluster_size	0.0	0.6667
1DEU	cluster_size	0.0	0.25
1DGK	cluster_size	0.0	0.0
1DGS	cluster_size	0.0	0.2222
1DI1	cluster_size	0.0	0.2
1DIN	cluster_size	0.0	0.0
1DJ1	cluster_size	0.0	0.3333
1DJX	cluster_size	442.0	0.0
1DLG	cluster_size	0.0	0.3333
1DNP	cluster_size	0.0	0.1667
1DPX	cluster_size	0.0	0.0
1E0C	cluster_size	0.0	0.2857
1EA0	cluster_size	0.0	0.0
1EB6	cluster_size	0.0	0.6
1ECL	cluster_size	0.0	0.7143
1EH5	cluster_size	0.0	0.6
1EH6	cluster_size	0.0	0.6
1EPW	cluster_size	0.0	0.4
1ESC	cluster_size	0.0	0.6
1ET0	cluster_size	0.0	0.0
1EU1	cluster_size	0.0	0.0
1EUG	cluster_size	9195.0	0.5
1EUU	cluster_size	0.0	0.0
1EX1	cluster_size	0.0	0.0
1EXP	cluster_size	0.0	0.6
1EYQ	cluster_size	0.0	0.25
1EZF	cluster_size	0.0	0.0
1F48	cluster_size	0.0	0.2857
1FA0	cluster_size	0.0	0.6667
1FCQ	cluster_size	0.0	0.2
1FGH	cluster_size	0.0	0.1667
1FHL	cluster_size	0.0	0.0
1FNB	cluster_size	0.0	0.2
1FOA	cluster_size	0.0	0.0
1FVA	cluster_size	0.0	0.4286
1FY2	cluster_size	0.0	0.8
1G6T	cluster_size	0.0	0.0
1G8P	cluster_size	0.0	0.0
1GA8	cluster_size	0.0	0.5
1GAL	cluster_size	0.0	1.0
1GCU	cluster_size	0.0	0.3333
1GHS	cluster_size	0.0	0.25
1GOJ	cluster_size	0.0	0.5714
1GP5	cluster_size	0.0	0.75
1GQ8	cluster_size	0.0	0.0
1GTK	cluster_size	0.0	0.1429
1H3I	cluster_size	0.0	0.2
1HPL	cluster_size	0.0	0.2
1HQC	cluster_size	0.0	0.0
1HS6	cluster_size	0.0	0.8571
1I1I	cluster_size	0.0	0.8
1IDJ	cluster_size	0.0	0.0
1IG8	cluster_size	0.0	0.3333
1IGS	cluster_size	0.0	0.0
1IM5	cluster_size	0.0	0.1111
1INP	cluster_size	0.0	0.7143
1IT4	cluster_size	0.0	0.2
1ITX	cluster_size	0.0	0.0
1IU4	cluster_size	0.0	0.75
1J00	cluster_size	0.0	0.0
1J09	cluster_size	0.0	0.0
1J53	cluster_size	0.0	0.8
1JH6	cluster_size	0.0	0.6667
1JS4	cluster_size	0.0	0.25
1JU3	cluster_size	0.0	0.1667
1K0G	cluster_size	0.0	0.0
1K30	cluster_size	0.0	0.5
1KAZ	cluster_size	0.0	0.0
1KEI	cluster_size	0.0	0.7143
1KL7	cluster_size	0.0	0.0
1KQ3	cluster_size	0.0	0.5
1L1L	cluster_size	0.0	0.5714
1L6P	cluster_size	0.0	0.1667
1L7N	cluster_size	0.0	0.1667
1L9X	cluster_size	0.0	0.6667
1LBM	cluster_size	0.0	0.5
1LBU	cluster_size	0.0	0.4286
1LIJ	cluster_size	0.0	0.0
1LJL	cluster_size	0.0	0.3571
1LML	cluster_size	0.0	1.0
1LNH	cluster_size	0.0	0.4
1LOK	cluster_size	0.0	1.0
1M4L	cluster_size	0.0	0.6
1M53	cluster_size	0.0	0.5
1MB9	cluster_size	0.0	0.0
1MBB	cluster_size	0.0	0.3333
1MJ9	cluster_size	0.0	0.5
1MLA	cluster_size	0.0	0.5
1MLV	cluster_size	0.0	0.0
1MRQ	cluster_size	0.0	0.5
1N8I	cluster_size	9413.0	0.0
1NDH	cluster_size	0.0	0.0
1NDI	cluster_size	0.0	0.5
1NHX	cluster_size	0.0	0.625
1NML	cluster_size	0.0	0.0
1NMW	cluster_size	0.0	0.4
1O08	cluster_size	0.0	0.4
1O98	cluster_size	0.0	0.0
1ODM	cluster_size	0.0	0.75
1OFD	cluster_size	0.0	0.3333
1OG1	cluster_size	0.0	0.5
1OGO	cluster_size	0.0	0.5
1OJ4	cluster_size	0.0	0.0
1OKG	cluster_size	0.0	0.0
1ONR	cluster_size	0.0	0.6
1OYG	cluster_size	0.0	0.25
1P5D	cluster_size	0.0	0.4444
1P7M	cluster_size	0.0	0.3333
1PBG	cluster_size	0.0	0.5
1PKN	cluster_size	0.0	0.0
1PMI	cluster_size	0.0	0.625
1PNT	cluster_size	0.0	0.8333
1PP4	cluster_size	0.0	0.6
1PS1	cluster_size	2015.0	0.5385
1PS9	cluster_size	24049.0	0.0
1PTD	cluster_size	1597.0	0.6
1PUD	cluster_size	0.0	0.5
1PWH	cluster_size	0.0	0.3333
1PYL	cluster_size	0.0	0.25
1Q0N	cluster_size	0.0	0.5
1Q6X	cluster_size	0.0	0.5
1Q91	cluster_size	0.0	1.0
1QAM	cluster_size	0.0	0.0
1QBA	cluster_size	0.0	0.5
1QGX	cluster_size	0.0	0.8571
1QHO	cluster_size	0.0	0.0
1QIB	cluster_size	0.0	0.75
1QK2	cluster_size	0.0	0.5
1QRZ	cluster_size	0.0	0.0
1QV0	cluster_size	0.0	0.0
1QWN	cluster_size	0.0	0.6
1R44	cluster_size	0.0	0.8
1R4Z	cluster_size	0.0	0.4
1R76	cluster_size	0.0	0.0
1RDD	cluster_size	0.0	1.0
1RHS	cluster_size	0.0	0.375
1RTU	cluster_size	0.0	0.25
1RUV	cluster_size	0.0	0.4
1S01	cluster_size	0.0	0.5
1S3I	cluster_size	0.0	0.5
1S6L	cluster_size	0.0	0.6667
1S95	cluster_size	0.0	0.0
1SLL	cluster_size	0.0	0.0
1SML	cluster_size	0.0	0.7143
1SNZ	cluster_size	0.0	1.0
1SSX	cluster_size	0.0	0.4
1SU4	cluster_size	0.0	1.0
1U3F	cluster_size	0.0	0.3333
1UCH	cluster_size	0.0	0.5
1UN1	cluster_size	0.0	0.0
1UOK	cluster_size	0.0	0.4
1USH	cluster_size	0.0	0.5833
1V0Y	cluster_size	0.0	0.5
1VID	cluster_size	0.0	0.0
1VLB	cluster_size	5489.0	1.0
1VNC	cluster_size	73.0	0.7143
1VOM	cluster_size	0.0	0.25
1VQ1	cluster_size	0.0	0.0
1VZX	cluster_size	0.0	0.0
1W0H	cluster_size	0.0	0.0
1WNW	cluster_size	0.0	0.7143
1X9D	cluster_size	214.0	0.0
1X9Y	cluster_size	0.0	0.0
1Y9M	cluster_size	0.0	0.5
1YRC	cluster_size	0.0	0.3333
1YT3	cluster_size	0.0	0.8
1YTW	cluster_size	28.0	0.4286
1ZE1	cluster_size	32865.0	0.25
1ZNB	cluster_size	2866.0	0.5
2A0N	cluster_size	0.0	0.0
2ABK	cluster_size	0.0	0.5
2ACU	cluster_size	0.0	0.75
2ACY	cluster_size	0.0	0.5
2ADM	cluster_size	277.0	0.25
2AKJ	cluster_size	0.0	0.5
2AYH	cluster_size	0.0	0.0
2B3I	cluster_size	0.0	0.0
2CPO	cluster_size	0.0	0.5
2DBT	cluster_size	0.0	0.3333
2DLN	cluster_size	0.0	0.1538
2ENG	cluster_size	0.0	0.0
2EUA	cluster_size	0.0	0.2
2F61	cluster_size	0.0	0.25
2F9R	cluster_size	0.0	0.0
2FOK	cluster_size	0.0	0.3333
2GB0	cluster_size	0.0	0.0
2GMH	cluster_size	0.0	0.5714
2HW4	cluster_size	0.0	0.1667
2ID0	cluster_size	0.0	0.1667
2NLR	cluster_size	0.0	0.0
2NMT	cluster_size	0.0	0.2
2NPX	cluster_size	0.0	0.0
2O7R	cluster_size	0.0	0.25
2ODQ	cluster_size	0.0	0.0
2OLN	cluster_size	0.0	0.1429
2PEC	cluster_size	0.0	0.4
2PTH	cluster_size	0.0	0.0
2QT6	cluster_size	0.0	0.6154
2RNF	cluster_size	0.0	0.3333
2SNS	cluster_size	0.0	0.5
2TPS	cluster_size	0.0	0.0
2WML	cluster_size	0.0	0.0
3AIE	cluster_size	0.0	0.0
3BPT	cluster_size	0.0	0.0
3DFR	cluster_size	0.0	0.3333
3FNL	cluster_size	0.0	0.0
3IDH	cluster_size	0.0	0.0
3KB9	cluster_size	0.0	0.0
3NYE	cluster_size	0.0	0.0
3PMG	cluster_size	0.0	0.4286
3RFA	cluster_size	0.0	0.5
3SHD	cluster_size	0.0	0.25
3THI	cluster_size	0.0	0.0
3VMT	cluster_size	0.0	0.0
4DGK	cluster_size	0.0	0.0
4EAY	cluster_size	0.0	0.1818
4L1G	cluster_size	0.0	0.1667
4MUP	cluster_size	0.0	0.0
5EAT	cluster_size	0.0	0.3
5VSM	cluster_size	0.0	0.0
7ATJ	cluster_size	0.0	0.75
9PAP	cluster_size	0.0	0.0
